name,fmts,fmt_str
Wiki-words-250-with-normalization@@google,2,"hub,saved_model_2"
Wiki-words-250@@google,2,"hub,saved_model_2"
Wiki-words-500-with-normalization@@google,2,"hub,saved_model_2"
Wiki-words-500@@google,2,"hub,saved_model_2"
albert_base@@google,1,hub
albert_en_base@@tensorflow,1,saved_model_2
albert_en_large@@tensorflow,1,saved_model_2
albert_en_xlarge@@tensorflow,1,saved_model_2
albert_en_xxlarge@@tensorflow,1,saved_model_2
albert_large@@google,1,hub
albert_lite_base@@tensorflow,1,saved_model_2
albert_xlarge@@google,1,hub
albert_xxlarge@@google,1,hub
bert-uncased-tf2-qa@@see--,1,saved_model_2
bert_cased_L-12_H-768_A-12@@google,1,hub
bert_cased_L-24_H-1024_A-16@@google,1,hub
bert_chinese_L-12_H-768_A-12@@google,1,hub
bert_en_cased_L-12_H-768_A-12@@tensorflow,1,saved_model_2
bert_en_cased_L-24_H-1024_A-16@@tensorflow,1,saved_model_2
bert_en_uncased_L-12_H-768_A-12@@tensorflow,1,saved_model_2
bert_en_uncased_L-24_H-1024_A-16@@tensorflow,1,saved_model_2
bert_en_wwm_cased_L-24_H-1024_A-16@@tensorflow,1,saved_model_2
bert_en_wwm_uncased_L-24_H-1024_A-16@@tensorflow,1,saved_model_2
bert_multi_cased_L-12_H-768_A-12@@google,1,hub
bert_multi_cased_L-12_H-768_A-12@@tensorflow,1,saved_model_2
bert_uncased_L-12_H-768_A-12@@google,1,hub
bert_uncased_L-24_H-1024_A-16@@google,1,hub
bert_zh_L-12_H-768_A-12@@tensorflow,1,saved_model_2
bigbigan-resnet50@@deepmind,1,hub
bigbigan-revnet50x4@@deepmind,1,hub
biggan-128@@deepmind,1,hub
biggan-256@@deepmind,1,hub
biggan-512@@deepmind,1,hub
biggan-deep-128@@deepmind,1,hub
biggan-deep-256@@deepmind,1,hub
biggan-deep-512@@deepmind,1,hub
compare_gan-model_10_lsun_bedroom_resnet19@@google,1,hub
compare_gan-model_11_cifar10_resnet_cifar@@google,1,hub
compare_gan-model_12_cifar10_resnet_cifar@@google,1,hub
compare_gan-model_13_cifar10_resnet_cifar@@google,1,hub
compare_gan-model_14_cifar10_resnet_cifar@@google,1,hub
compare_gan-model_15_cifar10_resnet_cifar@@google,1,hub
compare_gan-model_1_celebahq128_resnet19@@google,1,hub
compare_gan-model_2_celebahq128_resnet19@@google,1,hub
compare_gan-model_3_lsun_bedroom_resnet19@@google,1,hub
compare_gan-model_4_lsun_bedroom_resnet19@@google,1,hub
compare_gan-model_5_celebahq128_resnet19@@google,1,hub
compare_gan-model_6_celebahq128_resnet19@@google,1,hub
compare_gan-model_7_lsun_bedroom_resnet19@@google,1,hub
compare_gan-model_8_lsun_bedroom_resnet19@@google,1,hub
compare_gan-model_9_celebahq128_resnet19@@google,1,hub
compare_gan-s3gan_10_128x128@@google,1,hub
compare_gan-s3gan_10_256x256@@google,1,hub
compare_gan-s3gan_20_128x128@@google,1,hub
compare_gan-s3gan_2_5_128x128@@google,1,hub
compare_gan-s3gan_5_128x128@@google,1,hub
compare_gan-ssgan_128x128@@google,1,hub
cond-biggan@@vtab,1,hub
delf@@google,1,hub
efficientnet-b0-classification@@google,1,hub
efficientnet-b0-feature-vector@@google,1,hub
efficientnet-b1-classification@@google,1,hub
efficientnet-b1-feature-vector@@google,1,hub
efficientnet-b2-classification@@google,1,hub
efficientnet-b2-feature-vector@@google,1,hub
efficientnet-b3-classification@@google,1,hub
efficientnet-b3-feature-vector@@google,1,hub
efficientnet-b4-classification@@google,1,hub
efficientnet-b4-feature-vector@@google,1,hub
efficientnet-b5-classification@@google,1,hub
efficientnet-b5-feature-vector@@google,1,hub
efficientnet-b6-classification@@google,1,hub
efficientnet-b6-feature-vector@@google,1,hub
efficientnet-b7-classification@@google,1,hub
efficientnet-b7-feature-vector@@google,1,hub
efficientnet-lite0-classification@@tensorflow,1,hub
efficientnet-lite0-feature-vector@@tensorflow,1,hub
efficientnet-lite1-classification@@tensorflow,1,hub
efficientnet-lite1-feature-vector@@tensorflow,1,hub
efficientnet-lite2-classification@@tensorflow,1,hub
efficientnet-lite2-feature-vector@@tensorflow,1,hub
efficientnet-lite3-classification@@tensorflow,1,hub
efficientnet-lite3-feature-vector@@tensorflow,1,hub
efficientnet-lite4-classification@@tensorflow,1,hub
efficientnet-lite4-feature-vector@@tensorflow,1,hub
elmo@@google,1,hub
esrgan-tf2@@captain-pool,1,saved_model_2
exemplar@@vtab,1,hub
faster_rcnn-openimages_v4-inception_resnet_v2@@google,1,hub
ganeval-cifar10-convnet@@deepmind,1,hub
i3d-kinetics-400@@deepmind,1,hub
i3d-kinetics-600@@deepmind,1,hub
image_augmentation-crop_color@@google,1,hub
image_augmentation-crop_rotate_color@@google,1,hub
image_augmentation-flipx_crop_rotate_color@@google,1,hub
image_augmentation-nas_cifar@@google,1,hub
image_augmentation-nas_imagenet@@google,1,hub
image_augmentation-nas_svhn@@google,1,hub
imagenet-amoebanet_a_n18_f448-classification@@google,1,hub
imagenet-amoebanet_a_n18_f448-feature_vector@@google,1,hub
imagenet-inception_resnet_v2-classification@@google,2,"hub,saved_model_2"
imagenet-inception_resnet_v2-feature_vector@@google,2,"hub,saved_model_2"
imagenet-inception_v1-classification@@google,2,"hub,saved_model_2"
imagenet-inception_v1-feature_vector@@google,2,"hub,saved_model_2"
imagenet-inception_v2-classification@@google,2,"hub,saved_model_2"
imagenet-inception_v2-feature_vector@@google,2,"hub,saved_model_2"
imagenet-inception_v3-classification@@google,2,"hub,saved_model_2"
imagenet-inception_v3-feature_vector@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v1_025_128-classification@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v1_025_128-feature_vector@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v1_025_128-quantops-classification@@google,1,hub
imagenet-mobilenet_v1_025_128-quantops-feature_vector@@google,1,hub
imagenet-mobilenet_v1_025_160-classification@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v1_025_160-feature_vector@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v1_025_160-quantops-classification@@google,1,hub
imagenet-mobilenet_v1_025_160-quantops-feature_vector@@google,1,hub
imagenet-mobilenet_v1_025_192-classification@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v1_025_192-feature_vector@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v1_025_192-quantops-classification@@google,1,hub
imagenet-mobilenet_v1_025_192-quantops-feature_vector@@google,1,hub
imagenet-mobilenet_v1_025_224-classification@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v1_025_224-feature_vector@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v1_025_224-quantops-classification@@google,1,hub
imagenet-mobilenet_v1_025_224-quantops-feature_vector@@google,1,hub
imagenet-mobilenet_v1_050_128-classification@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v1_050_128-feature_vector@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v1_050_128-quantops-classification@@google,1,hub
imagenet-mobilenet_v1_050_128-quantops-feature_vector@@google,1,hub
imagenet-mobilenet_v1_050_160-classification@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v1_050_160-feature_vector@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v1_050_160-quantops-classification@@google,1,hub
imagenet-mobilenet_v1_050_160-quantops-feature_vector@@google,1,hub
imagenet-mobilenet_v1_050_192-classification@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v1_050_192-feature_vector@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v1_050_192-quantops-classification@@google,1,hub
imagenet-mobilenet_v1_050_192-quantops-feature_vector@@google,1,hub
imagenet-mobilenet_v1_050_224-classification@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v1_050_224-feature_vector@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v1_050_224-quantops-classification@@google,1,hub
imagenet-mobilenet_v1_050_224-quantops-feature_vector@@google,1,hub
imagenet-mobilenet_v1_075_128-classification@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v1_075_128-feature_vector@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v1_075_128-quantops-classification@@google,1,hub
imagenet-mobilenet_v1_075_128-quantops-feature_vector@@google,1,hub
imagenet-mobilenet_v1_075_160-classification@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v1_075_160-feature_vector@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v1_075_160-quantops-classification@@google,1,hub
imagenet-mobilenet_v1_075_160-quantops-feature_vector@@google,1,hub
imagenet-mobilenet_v1_075_192-classification@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v1_075_192-feature_vector@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v1_075_192-quantops-classification@@google,1,hub
imagenet-mobilenet_v1_075_192-quantops-feature_vector@@google,1,hub
imagenet-mobilenet_v1_075_224-classification@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v1_075_224-feature_vector@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v1_075_224-quantops-classification@@google,1,hub
imagenet-mobilenet_v1_075_224-quantops-feature_vector@@google,1,hub
imagenet-mobilenet_v1_100_128-classification@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v1_100_128-feature_vector@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v1_100_128-quantops-classification@@google,1,hub
imagenet-mobilenet_v1_100_128-quantops-feature_vector@@google,1,hub
imagenet-mobilenet_v1_100_160-classification@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v1_100_160-feature_vector@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v1_100_160-quantops-classification@@google,1,hub
imagenet-mobilenet_v1_100_160-quantops-feature_vector@@google,1,hub
imagenet-mobilenet_v1_100_192-classification@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v1_100_192-feature_vector@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v1_100_192-quantops-classification@@google,1,hub
imagenet-mobilenet_v1_100_192-quantops-feature_vector@@google,1,hub
imagenet-mobilenet_v1_100_224-classification@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v1_100_224-feature_vector@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v1_100_224-quantops-classification@@google,1,hub
imagenet-mobilenet_v1_100_224-quantops-feature_vector@@google,1,hub
imagenet-mobilenet_v2_035_128-classification@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v2_035_128-feature_vector@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v2_035_160-classification@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v2_035_160-feature_vector@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v2_035_192-classification@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v2_035_192-feature_vector@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v2_035_224-classification@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v2_035_224-feature_vector@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v2_035_96-classification@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v2_035_96-feature_vector@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v2_050_128-classification@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v2_050_128-feature_vector@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v2_050_160-classification@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v2_050_160-feature_vector@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v2_050_192-classification@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v2_050_192-feature_vector@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v2_050_224-classification@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v2_050_224-feature_vector@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v2_050_96-classification@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v2_050_96-feature_vector@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v2_075_128-classification@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v2_075_128-feature_vector@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v2_075_160-classification@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v2_075_160-feature_vector@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v2_075_192-classification@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v2_075_192-feature_vector@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v2_075_224-classification@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v2_075_224-feature_vector@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v2_075_96-classification@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v2_075_96-feature_vector@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v2_100_128-classification@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v2_100_128-feature_vector@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v2_100_160-classification@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v2_100_160-feature_vector@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v2_100_192-classification@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v2_100_192-feature_vector@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v2_100_224-classification@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v2_100_224-feature_vector@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v2_100_96-classification@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v2_100_96-feature_vector@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v2_130_224-classification@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v2_130_224-feature_vector@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v2_140_224-classification@@google,2,"hub,saved_model_2"
imagenet-mobilenet_v2_140_224-feature_vector@@google,2,"hub,saved_model_2"
imagenet-nasnet_large-classification@@google,2,"hub,saved_model_2"
imagenet-nasnet_large-feature_vector@@google,2,"hub,saved_model_2"
imagenet-nasnet_mobile-classification@@google,2,"hub,saved_model_2"
imagenet-nasnet_mobile-feature_vector@@google,2,"hub,saved_model_2"
imagenet-pnasnet_large-classification@@google,2,"hub,saved_model_2"
imagenet-pnasnet_large-feature_vector@@google,2,"hub,saved_model_2"
imagenet-resnet_v1_101-classification@@google,2,"hub,saved_model_2"
imagenet-resnet_v1_101-feature_vector@@google,2,"hub,saved_model_2"
imagenet-resnet_v1_152-classification@@google,2,"hub,saved_model_2"
imagenet-resnet_v1_152-feature_vector@@google,2,"hub,saved_model_2"
imagenet-resnet_v1_50-classification@@google,2,"hub,saved_model_2"
imagenet-resnet_v1_50-feature_vector@@google,2,"hub,saved_model_2"
imagenet-resnet_v2_101-classification@@google,2,"hub,saved_model_2"
imagenet-resnet_v2_101-feature_vector@@google,2,"hub,saved_model_2"
imagenet-resnet_v2_152-classification@@google,2,"hub,saved_model_2"
imagenet-resnet_v2_152-feature_vector@@google,2,"hub,saved_model_2"
imagenet-resnet_v2_50-classification@@google,2,"hub,saved_model_2"
imagenet-resnet_v2_50-feature_vector@@google,2,"hub,saved_model_2"
inaturalist-inception_v3-feature_vector@@google,2,"hub,saved_model_2"
jigsaw@@vtab,1,hub
llr-pretrain-adv-latents@@deepmind,1,hub
llr-pretrain-adv-linear@@deepmind,1,hub
local-linearity-cifar10@@deepmind,1,hub
local-linearity-imagenet@@deepmind,1,hub
magenta-arbitrary-image-stylization-v1-256@@google,1,hub
mil-nce-i3d@@deepmind,1,hub
mil-nce-s3d@@deepmind,1,hub
nnlm-de-dim128-with-normalization@@google,2,"hub,saved_model_2"
nnlm-de-dim128@@google,2,"hub,saved_model_2"
nnlm-de-dim50-with-normalization@@google,2,"hub,saved_model_2"
nnlm-de-dim50@@google,2,"hub,saved_model_2"
nnlm-en-dim128-with-normalization@@google,2,"hub,saved_model_2"
nnlm-en-dim128@@google,2,"hub,saved_model_2"
nnlm-en-dim50-with-normalization@@google,2,"hub,saved_model_2"
nnlm-en-dim50@@google,2,"hub,saved_model_2"
nnlm-es-dim128-with-normalization@@google,2,"hub,saved_model_2"
nnlm-es-dim128@@google,2,"hub,saved_model_2"
nnlm-es-dim50-with-normalization@@google,2,"hub,saved_model_2"
nnlm-es-dim50@@google,2,"hub,saved_model_2"
nnlm-id-dim128-with-normalization@@google,2,"hub,saved_model_2"
nnlm-id-dim128@@google,2,"hub,saved_model_2"
nnlm-id-dim50-with-normalization@@google,2,"hub,saved_model_2"
nnlm-id-dim50@@google,2,"hub,saved_model_2"
nnlm-ja-dim128-with-normalization@@google,2,"hub,saved_model_2"
nnlm-ja-dim128@@google,2,"hub,saved_model_2"
nnlm-ja-dim50-with-normalization@@google,2,"hub,saved_model_2"
nnlm-ja-dim50@@google,2,"hub,saved_model_2"
nnlm-ko-dim128-with-normalization@@google,2,"hub,saved_model_2"
nnlm-ko-dim128@@google,2,"hub,saved_model_2"
nnlm-ko-dim50-with-normalization@@google,2,"hub,saved_model_2"
nnlm-ko-dim50@@google,2,"hub,saved_model_2"
nnlm-zh-dim128-with-normalization@@google,2,"hub,saved_model_2"
nnlm-zh-dim128@@google,2,"hub,saved_model_2"
nnlm-zh-dim50-with-normalization@@google,2,"hub,saved_model_2"
nnlm-zh-dim50@@google,2,"hub,saved_model_2"
nonsemantic-speech-benchmark-trill-distilled@@google,1,saved_model_2
nonsemantic-speech-benchmark-trill@@google,1,saved_model_2
nq@@nascarr,1,saved_model_2
object_detection-mobile_object_localizer_v1@@google,1,hub
openimages_v4-ssd-mobilenet_v2@@google,1,hub
planet-vision-classifier-planet_v2@@google,1,hub
progan-128@@google,1,hub
random-nnlm-en-dim128@@google,1,hub
random-nnlm-en-dim50@@google,1,hub
relative-patch-location@@vtab,1,hub
remote_sensing-bigearthnet-resnet50@@google,1,hub
remote_sensing-eurosat-ms-resnet50@@google,1,hub
remote_sensing-eurosat-resnet50@@google,1,hub
remote_sensing-resisc45-resnet50@@google,1,hub
remote_sensing-so2sat-ms-resnet50@@google,1,hub
remote_sensing-so2sat-resnet50@@google,1,hub
remote_sensing-uc_merced-resnet50@@google,1,hub
resnet_50-classification@@tensorflow,1,saved_model_2
resnet_50-feature_vector@@tensorflow,1,saved_model_2
rotation@@vtab,1,hub
semi-exemplar-10@@vtab,1,hub
semi-rotation-10@@vtab,1,hub
speech_embedding@@google,1,hub
spice@@google,1,saved_model
spiral-default-fluid-gansn-celebahq64-gen-19steps@@deepmind,1,hub
spiral-default-wgangp-celebahq64-gen-19steps-agent1@@deepmind,1,hub
spiral-default-wgangp-celebahq64-gen-19steps-agent2@@deepmind,1,hub
spiral-default-wgangp-celebahq64-gen-19steps-agent3@@deepmind,1,hub
spiral-default-wgangp-celebahq64-gen-19steps-agent4@@deepmind,1,hub
spiral-default-wgangp-celebahq64-gen-19steps-agent5@@deepmind,1,hub
spiral-default-wgangp-celebahq64-gen-19steps-agent6@@deepmind,1,hub
spiral-default-wgangp-celebahq64-gen-19steps-agent7@@deepmind,1,hub
spiral-default-wgangp-celebahq64-gen-19steps-agent8@@deepmind,1,hub
spiral-default-wgangp-celebahq64-gen-19steps-agent9@@deepmind,1,hub
sup-100@@vtab,1,hub
sup-exemplar-100@@vtab,1,hub
sup-rotation-100@@vtab,1,hub
svampeatlas-vision-embedder-fungi_V1@@google,1,hub
tf2-preview-gnews-swivel-20dim-with-oov@@google,1,saved_model_2
tf2-preview-gnews-swivel-20dim@@google,1,saved_model_2
tf2-preview-inception_v3-classification@@google,1,saved_model_2
tf2-preview-inception_v3-feature_vector@@google,1,saved_model_2
tf2-preview-mobilenet_v2-classification@@google,1,saved_model_2
tf2-preview-mobilenet_v2-feature_vector@@google,1,saved_model_2
tf2-preview-nnlm-de-dim128-with-normalization@@google,1,saved_model_2
tf2-preview-nnlm-de-dim128@@google,1,saved_model_2
tf2-preview-nnlm-de-dim50-with-normalization@@google,1,saved_model_2
tf2-preview-nnlm-de-dim50@@google,1,saved_model_2
tf2-preview-nnlm-en-dim128-with-normalization@@google,1,saved_model_2
tf2-preview-nnlm-en-dim128@@google,1,saved_model_2
tf2-preview-nnlm-en-dim50-with-normalization@@google,1,saved_model_2
tf2-preview-nnlm-en-dim50@@google,1,saved_model_2
tf2-preview-nnlm-es-dim128-with-normalization@@google,1,saved_model_2
tf2-preview-nnlm-es-dim128@@google,1,saved_model_2
tf2-preview-nnlm-es-dim50-with-normalization@@google,1,saved_model_2
tf2-preview-nnlm-es-dim50@@google,1,saved_model_2
tf2-preview-nnlm-id-dim128-with-normalization@@google,1,saved_model_2
tf2-preview-nnlm-id-dim128@@google,1,saved_model_2
tf2-preview-nnlm-id-dim50-with-normalization@@google,1,saved_model_2
tf2-preview-nnlm-id-dim50@@google,1,saved_model_2
tf2-preview-nnlm-ja-dim128-with-normalization@@google,1,saved_model_2
tf2-preview-nnlm-ja-dim128@@google,1,saved_model_2
tf2-preview-nnlm-ja-dim50-with-normalization@@google,1,saved_model_2
tf2-preview-nnlm-ja-dim50@@google,1,saved_model_2
tf2-preview-nnlm-ko-dim128-with-normalization@@google,1,saved_model_2
tf2-preview-nnlm-ko-dim128@@google,1,saved_model_2
tf2-preview-nnlm-ko-dim50-with-normalization@@google,1,saved_model_2
tf2-preview-nnlm-ko-dim50@@google,1,saved_model_2
tf2-preview-nnlm-zh-dim128-with-normalization@@google,1,saved_model_2
tf2-preview-nnlm-zh-dim128@@google,1,saved_model_2
tf2-preview-nnlm-zh-dim50-with-normalization@@google,1,saved_model_2
tf2-preview-nnlm-zh-dim50@@google,1,saved_model_2
tf2nq@@prvi,1,saved_model_2
tfgan-eval-inception@@tensorflow,1,hub
tfgan-eval-mnist-logits@@tensorflow,1,hub
tweening_conv3d_bair@@google,1,hub
tweening_conv3d_kth@@google,1,hub
uncond-biggan@@vtab,1,hub
unet-industrial-class_10@@nvidia,1,hub
unet-industrial-class_1@@nvidia,1,hub
unet-industrial-class_2@@nvidia,1,hub
unet-industrial-class_3@@nvidia,1,hub
unet-industrial-class_4@@nvidia,1,hub
unet-industrial-class_5@@nvidia,1,hub
unet-industrial-class_6@@nvidia,1,hub
unet-industrial-class_7@@nvidia,1,hub
unet-industrial-class_8@@nvidia,1,hub
unet-industrial-class_9@@nvidia,1,hub
universal-sentence-encoder-large@@google,2,"hub,saved_model_2"
universal-sentence-encoder-lite@@google,1,hub
universal-sentence-encoder-multilingual-large@@google,2,"hub,saved_model_2"
universal-sentence-encoder-multilingual-qa@@google,2,"hub,saved_model_2"
universal-sentence-encoder-multilingual@@google,2,"hub,saved_model_2"
universal-sentence-encoder-qa@@google,2,"hub,saved_model_2"
universal-sentence-encoder-xling-en-de@@google,1,hub
universal-sentence-encoder-xling-en-es@@google,1,hub
universal-sentence-encoder-xling-en-fr@@google,1,hub
universal-sentence-encoder-xling-many@@google,1,hub
universal-sentence-encoder@@google,2,"hub,saved_model_2"
unsupervised-adversarial-training-cifar10-wrn_106@@deepmind,1,hub
vae@@vtab,1,hub
videoflow-encoder@@google,1,hub
videoflow-evaluator@@google,1,hub
videoflow-generator@@google,1,hub
vision-classifier-fungi_mobile_V1@@svampeatlas,1,hub
vision-classifier-imet_attributes_V1@@metmuseum,1,hub
vision-detector-megadetector_V3@@microsoft-ai-for-earth,1,hub
vision-embedder-fungi_V2@@svampeatlas,1,hub
vision-embedder-inaturalist_V2@@inaturalist,1,hub
wae-gan@@vtab,1,hub
wae-mmd@@vtab,1,hub
wae-ukl@@vtab,1,hub
