name,version,dataset,fmt,module_type,network_architecture,author
universal-sentence-encoder-multilingual-qa@@google,1,None,hub,text-embedding,Transformer,google
universal-sentence-encoder-multilingual-qa@@google,2,None,saved_model_2,text-embedding,Transformer,google
imagenet-mobilenet_v1_075_192-quantops-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
universal-sentence-encoder-multilingual-qa@@google,3,None,saved_model_2,text-embedding,Transformer,google
imagenet-mobilenet_v1_075_192-quantops-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
imagenet-mobilenet_v1_050_160-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V1,google
imagenet-mobilenet_v1_050_160-classification@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V1,google
imagenet-mobilenet_v1_050_160-classification@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-classification,MobileNet V1,google
elmo@@google,1,1 Billion Word Benchmark,hub,text-embedding,ELMo,google
speech_embedding@@google,1,None,hub,audio-embedding,KeyWordSpottingNet,google
imagenet-mobilenet_v1_050_192-quantops-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
biggan-deep-128@@deepmind,1,ImageNet (ILSVRC-2012-CLS),hub,image-generator,BigGAN-deep,deepmind
imagenet-inception_resnet_v2-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,Inception ResNet V2,google
imagenet-mobilenet_v1_050_192-quantops-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
imagenet-inception_resnet_v2-classification@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-classification,Inception ResNet V2,google
imagenet-nasnet_large-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,NASNet-A (large),google
compare_gan-s3gan_5_128x128@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-generator,BiGAN,google
imagenet-nasnet_large-classification@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-classification,NASNet-A (large),google
imagenet-mobilenet_v2_050_96-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V2,google
imagenet-mobilenet_v2_050_96-feature_vector@@google,2,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V2,google
imagenet-mobilenet_v2_050_96-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V2,google
imagenet-mobilenet_v2_050_96-feature_vector@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-feature-vector,MobileNet V2,google
i3d-kinetics-600@@deepmind,1,Kinetics-600,hub,video-classification,I3D,deepmind
imagenet-mobilenet_v2_075_96-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V2,google
imagenet-nasnet_large-classification@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-classification,NASNet-A (large),google
imagenet-mobilenet_v2_075_96-feature_vector@@google,2,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V2,google
imagenet-mobilenet_v2_075_96-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V2,google
remote_sensing-eurosat-resnet50@@google,1,Multiple,hub,image-feature-vector,ResNet V2 50,google
imagenet-mobilenet_v1_100_128-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
tf2-preview-nnlm-es-dim50-with-normalization@@google,1,Google News,saved_model_2,text-embedding,NNLM,google
imagenet-mobilenet_v1_100_128-feature_vector@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-feature-vector,MobileNet V1,google
bert_en_uncased_L-12_H-768_A-12@@tensorflow,1,Wikipedia and BooksCorpus,saved_model_2,text-embedding,Transformer,tensorflow
imagenet-mobilenet_v1_100_128-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
imagenet-mobilenet_v2_035_160-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V2,google
imagenet-mobilenet_v2_035_160-classification@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V2,google
biggan-512@@deepmind,1,ImageNet (ILSVRC-2012-CLS),hub,image-generator,BigGAN,deepmind
biggan-512@@deepmind,2,ImageNet (ILSVRC-2012-CLS),hub,image-generator,BigGAN,deepmind
imagenet-mobilenet_v2_100_192-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V2,google
imagenet-mobilenet_v2_100_192-feature_vector@@google,2,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V2,google
imagenet-mobilenet_v2_100_192-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V2,google
imagenet-mobilenet_v1_025_192-quantops-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V1,google
imagenet-mobilenet_v2_100_192-feature_vector@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-feature-vector,MobileNet V2,google
imagenet-mobilenet_v1_075_160-quantops-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
nnlm-de-dim50-with-normalization@@google,2,Google News,saved_model_2,text-embedding,NNLM,google
imagenet-mobilenet_v1_075_160-quantops-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
imagenet-mobilenet_v2_140_224-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V2,google
imagenet-mobilenet_v2_140_224-feature_vector@@google,2,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V2,google
imagenet-mobilenet_v2_140_224-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V2,google
imagenet-mobilenet_v1_025_224-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
imagenet-mobilenet_v2_140_224-feature_vector@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-feature-vector,MobileNet V2,google
imagenet-mobilenet_v1_025_224-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
imagenet-mobilenet_v1_100_224-quantops-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V1,google
imagenet-mobilenet_v1_025_224-feature_vector@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-feature-vector,MobileNet V1,google
imagenet-mobilenet_v1_100_224-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V1,google
imagenet-mobilenet_v1_100_224-quantops-classification@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V1,google
imagenet-mobilenet_v1_100_224-classification@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V1,google
imagenet-mobilenet_v1_100_224-classification@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-classification,MobileNet V1,google
compare_gan-model_3_lsun_bedroom_resnet19@@google,1,LSUN Bedroom,hub,image-generator,ResNet19,google
universal-sentence-encoder@@google,1,None,hub,text-embedding,DAN,google
universal-sentence-encoder@@google,2,None,hub,text-embedding,DAN,google
universal-sentence-encoder@@google,3,None,saved_model_2,text-embedding,DAN,google
universal-sentence-encoder@@google,4,None,saved_model_2,text-embedding,DAN,google
nnlm-id-dim50-with-normalization@@google,1,Google News,hub,text-embedding,NNLM,google
imagenet-inception_v2-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,Inception V2,google
wae-ukl@@vtab,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,WAE,vtab
imagenet-inception_v2-classification@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-classification,Inception V2,google
tf2-preview-inception_v3-feature_vector@@google,2,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-feature-vector,Inception V3,google
tf2-preview-inception_v3-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-feature-vector,Inception V3,google
imagenet-mobilenet_v1_075_160-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V1,google
compare_gan-model_4_lsun_bedroom_resnet19@@google,1,LSUN Bedroom,hub,image-generator,ResNet19,google
imagenet-mobilenet_v1_075_160-classification@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V1,google
compare_gan-s3gan_2_5_128x128@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-generator,BiGAN,google
imagenet-mobilenet_v2_050_128-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V2,google
imagenet-mobilenet_v2_050_128-feature_vector@@google,2,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V2,google
imagenet-mobilenet_v2_050_128-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V2,google
imagenet-mobilenet_v1_050_192-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
imagenet-mobilenet_v2_050_128-feature_vector@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-feature-vector,MobileNet V2,google
imagenet-mobilenet_v1_050_192-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
albert_base@@google,1,Wikipedia| BooksCorpus| Stories| CommonCrawl| Giga5| Clue Web,hub,text-embedding,Transformer,google
albert_base@@google,2,Wikipedia| BooksCorpus| Stories| CommonCrawl| Giga5| Clue Web,hub,text-embedding,Transformer,google
imagenet-mobilenet_v1_100_192-quantops-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
bert_multi_cased_L-12_H-768_A-12@@tensorflow,1,Multilingual Wikipedia,saved_model_2,text-embedding,Transformer,tensorflow
imagenet-mobilenet_v1_100_192-quantops-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
spiral-default-fluid-gansn-celebahq64-gen-19steps@@deepmind,1,CelebA HQ,hub,image-rnn-agent,Other,deepmind
biggan-128@@deepmind,1,ImageNet (ILSVRC-2012-CLS),hub,image-generator,BigGAN,deepmind
imagenet-resnet_v1_101-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,ResNet V1 101,google
biggan-128@@deepmind,2,ImageNet (ILSVRC-2012-CLS),hub,image-generator,BigGAN,deepmind
imagenet-resnet_v1_101-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,ResNet V1 101,google
imagenet-mobilenet_v2_035_128-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V2,google
imagenet-mobilenet_v2_035_128-feature_vector@@google,2,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V2,google
imagenet-mobilenet_v2_035_128-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V2,google
imagenet-mobilenet_v2_100_160-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V2,google
imagenet-mobilenet_v2_100_160-classification@@google,2,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V2,google
imagenet-mobilenet_v2_100_160-classification@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V2,google
imagenet-mobilenet_v2_130_224-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V2,google
imagenet-mobilenet_v2_130_224-classification@@google,2,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V2,google
imagenet-mobilenet_v2_130_224-classification@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V2,google
tf2-preview-nnlm-en-dim128@@google,1,Google News,saved_model_2,text-embedding,NNLM,google
universal-sentence-encoder-multilingual-large@@google,1,None,hub,text-embedding,Transformer,google
imagenet-mobilenet_v2_130_224-classification@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-classification,MobileNet V2,google
universal-sentence-encoder-multilingual-large@@google,2,None,saved_model_2,text-embedding,Transformer,google
imagenet-mobilenet_v1_075_128-quantops-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V1,google
universal-sentence-encoder-multilingual-large@@google,3,None,saved_model_2,text-embedding,Transformer,google
imagenet-mobilenet_v2_100_160-classification@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-classification,MobileNet V2,google
imagenet-resnet_v1_152-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,ResNet V1 152,google
resnet_50-feature_vector@@tensorflow,1,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-feature-vector,ResNet V1 50,tensorflow
imagenet-resnet_v1_152-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,ResNet V1 152,google
imagenet-resnet_v1_152-feature_vector@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-feature-vector,ResNet V1 152,google
efficientnet-b7-feature-vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,EfficientNet-B7,google
imagenet-mobilenet_v1_100_192-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V1,google
remote_sensing-uc_merced-resnet50@@google,1,Multiple,hub,image-feature-vector,ResNet V2 50,google
imagenet-mobilenet_v1_100_192-classification@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V1,google
bert_cased_L-24_H-1024_A-16@@google,1,Wikipedia and BooksCorpus,hub,text-embedding,Transformer,google
efficientnet-lite4-feature-vector@@tensorflow,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,EfficientNet-B4,tensorflow
vision-classifier-imet_attributes_V1@@metmuseum,1,iMet Collection 2019,hub,image-classification-logits,Inception V4,metmuseum
albert_en_xxlarge@@tensorflow,1,Wikipedia and BooksCorpus,saved_model_2,text-embedding,Transformer,tensorflow
efficientnet-b1-feature-vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,EfficientNet-B1,google
imagenet-mobilenet_v2_035_128-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V2,google
imagenet-mobilenet_v2_035_128-classification@@google,2,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V2,google
imagenet-mobilenet_v2_035_128-classification@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V2,google
imagenet-mobilenet_v2_035_128-classification@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-classification,MobileNet V2,google
imagenet-mobilenet_v2_075_192-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V2,google
imagenet-mobilenet_v2_075_192-classification@@google,2,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V2,google
imagenet-mobilenet_v2_075_192-classification@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V2,google
imagenet-inception_v3-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,Inception V3,google
imagenet-inception_v3-classification@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-classification,Inception V3,google
imagenet-inception_v3-classification@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-classification,Inception V3,google
imagenet-mobilenet_v2_075_192-classification@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-classification,MobileNet V2,google
uncond-biggan@@vtab,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,BigGAN,vtab
tf2-preview-nnlm-en-dim50@@google,1,Google News,saved_model_2,text-embedding,NNLM,google
ganeval-cifar10-convnet@@deepmind,1,CIFAR-10,hub,image-classification,VGG-style,deepmind
imagenet-mobilenet_v1_050_224-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V1,google
compare_gan-model_8_lsun_bedroom_resnet19@@google,1,LSUN Bedroom,hub,image-generator,ResNet19,google
imagenet-mobilenet_v1_050_224-classification@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V1,google
imagenet-mobilenet_v1_050_224-classification@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-classification,MobileNet V1,google
tf2-preview-gnews-swivel-20dim@@google,1,Google News,saved_model_2,text-embedding,Swivel,google
cond-biggan@@vtab,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,BigGAN,vtab
imagenet-mobilenet_v2_035_192-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V2,google
imagenet-mobilenet_v2_035_192-feature_vector@@google,2,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V2,google
imagenet-mobilenet_v2_035_192-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V2,google
efficientnet-lite4-classification@@tensorflow,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,EfficientNet-B4,tensorflow
universal-sentence-encoder-multilingual@@google,1,None,hub,text-embedding,CNN,google
universal-sentence-encoder-multilingual@@google,2,None,saved_model_2,text-embedding,CNN,google
imagenet-mobilenet_v2_100_96-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V2,google
imagenet-mobilenet_v2_100_96-classification@@google,2,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V2,google
imagenet-mobilenet_v2_100_96-classification@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V2,google
imagenet-mobilenet_v1_050_128-quantops-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V1,google
tf2-preview-gnews-swivel-20dim-with-oov@@google,1,Google News,saved_model_2,text-embedding,Swivel,google
imagenet-mobilenet_v2_050_160-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V2,google
imagenet-mobilenet_v2_050_160-feature_vector@@google,2,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V2,google
imagenet-mobilenet_v2_050_160-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V2,google
imagenet-mobilenet_v2_050_160-feature_vector@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-feature-vector,MobileNet V2,google
imagenet-resnet_v1_50-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,ResNet V1 50,google
imagenet-resnet_v1_50-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,ResNet V1 50,google
albert_large@@google,1,Wikipedia| BooksCorpus| Stories| CommonCrawl| Giga5| Clue Web,hub,text-embedding,Transformer,google
albert_large@@google,2,Wikipedia| BooksCorpus| Stories| CommonCrawl| Giga5| Clue Web,hub,text-embedding,Transformer,google
albert_large@@google,3,Wikipedia| BooksCorpus| Stories| CommonCrawl| Giga5| Clue Web,hub,text-embedding,Transformer,google
nnlm-de-dim50@@google,1,Google News,hub,text-embedding,NNLM,google
nnlm-de-dim50@@google,2,Google News,saved_model_2,text-embedding,NNLM,google
imagenet-mobilenet_v2_075_224-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V2,google
imagenet-mobilenet_v2_075_224-feature_vector@@google,2,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V2,google
imagenet-mobilenet_v2_075_224-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V2,google
imagenet-mobilenet_v2_075_224-feature_vector@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-feature-vector,MobileNet V2,google
imagenet-resnet_v1_101-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,ResNet V1 101,google
bert_chinese_L-12_H-768_A-12@@google,1,Wikipedia and BooksCorpus,hub,text-embedding,Transformer,google
imagenet-resnet_v1_101-classification@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-classification,ResNet V1 101,google
imagenet-mobilenet_v1_050_160-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
imagenet-mobilenet_v1_050_160-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
efficientnet-lite2-classification@@tensorflow,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,EfficientNet-B2,tensorflow
imagenet-mobilenet_v1_050_160-quantops-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
compare_gan-model_14_cifar10_resnet_cifar@@google,1,CIFAR-10,hub,image-generator,ResNet CIFAR,google
imagenet-mobilenet_v2_100_128-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V2,google
imagenet-mobilenet_v2_100_128-classification@@google,2,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V2,google
imagenet-mobilenet_v2_100_128-classification@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V2,google
imagenet-mobilenet_v2_075_160-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V2,google
imagenet-mobilenet_v2_075_160-classification@@google,2,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V2,google
imagenet-mobilenet_v2_075_160-classification@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V2,google
imagenet-mobilenet_v2_075_160-classification@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-classification,MobileNet V2,google
imagenet-resnet_v2_152-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,ResNet V2 152,google
