name,version,dataset,fmt,module_type,network_architecture,author
imagenet-resnet_v2_152-classification@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-classification,ResNet V2 152,google
nnlm-es-dim128@@google,1,Google News,hub,text-embedding,NNLM,google
nnlm-es-dim128@@google,2,Google News,saved_model_2,text-embedding,NNLM,google
universal-sentence-encoder-lite@@google,1,None,hub,text-embedding,Transformer,google
imagenet-mobilenet_v1_075_128-quantops-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
compare_gan-model_7_lsun_bedroom_resnet19@@google,1,LSUN Bedroom,hub,image-generator,ResNet19,google
imagenet-pnasnet_large-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,PNASNet-5 (large),google
imagenet-pnasnet_large-feature_vector@@google,2,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,PNASNet-5 (large),google
imagenet-pnasnet_large-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,PNASNet-5 (large),google
nnlm-id-dim128@@google,1,Google News,hub,text-embedding,NNLM,google
imagenet-mobilenet_v1_025_128-quantops-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
tf2-preview-nnlm-ja-dim128-with-normalization@@google,1,Google News,saved_model_2,text-embedding,NNLM,google
imagenet-mobilenet_v1_025_128-quantops-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
imagenet-mobilenet_v1_075_224-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V1,google
unet-industrial-class_10@@nvidia,1,DAGM2007,hub,image-segmentation,Unet,nvidia
imagenet-mobilenet_v1_075_224-classification@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V1,google
faster_rcnn-openimages_v4-inception_resnet_v2@@google,1,OpenImagesV4,hub,image-object-detection,Faster R-CNN,google
imagenet-inception_v3-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,Inception V3,google
imagenet-mobilenet_v1_075_224-classification@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-classification,MobileNet V1,google
imagenet-inception_v3-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,Inception V3,google
imagenet-resnet_v2_50-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,ResNet V2 50,google
imagenet-inception_v3-feature_vector@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-feature-vector,Inception V3,google
imagenet-resnet_v2_50-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,ResNet V2 50,google
imagenet-mobilenet_v2_035_224-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V2,google
imagenet-mobilenet_v2_035_224-classification@@google,2,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V2,google
imagenet-mobilenet_v2_035_224-classification@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V2,google
imagenet-mobilenet_v1_025_160-quantops-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
exemplar@@vtab,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,ResNet50-v2,vtab
tweening_conv3d_bair@@google,1,BAIR,hub,video-generator,Other,google
relative-patch-location@@vtab,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,ResNet50-v2,vtab
nnlm-es-dim50@@google,1,Google News,hub,text-embedding,NNLM,google
imagenet-mobilenet_v2_075_128-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V2,google
imagenet-mobilenet_v2_075_128-feature_vector@@google,2,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V2,google
imagenet-mobilenet_v2_075_128-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V2,google
imagenet-mobilenet_v2_075_128-feature_vector@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-feature-vector,MobileNet V2,google
albert_xlarge@@google,2,Wikipedia| BooksCorpus| Stories| CommonCrawl| Giga5| Clue Web,hub,text-embedding,Transformer,google
albert_xlarge@@google,3,Wikipedia| BooksCorpus| Stories| CommonCrawl| Giga5| Clue Web,hub,text-embedding,Transformer,google
imagenet-mobilenet_v2_075_192-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V2,google
imagenet-mobilenet_v2_075_192-feature_vector@@google,2,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V2,google
imagenet-mobilenet_v2_075_192-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V2,google
imagenet-mobilenet_v2_075_192-feature_vector@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-feature-vector,MobileNet V2,google
compare_gan-s3gan_10_256x256@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-generator,BiGAN,google
tf2-preview-nnlm-es-dim128@@google,1,Google News,saved_model_2,text-embedding,NNLM,google
imagenet-mobilenet_v2_050_224-feature_vector@@google,2,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V2,google
imagenet-mobilenet_v2_050_224-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V2,google
compare_gan-model_6_celebahq128_resnet19@@google,1,CelebA HQ,hub,image-generator,ResNet19,google
imagenet-mobilenet_v1_100_128-quantops-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V1,google
imagenet-mobilenet_v2_050_224-feature_vector@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-feature-vector,MobileNet V2,google
imagenet-mobilenet_v1_100_128-quantops-classification@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V1,google
bigbigan-resnet50@@deepmind,1,ImageNet (ILSVRC-2012-CLS),hub,image-generator,BigBiGAN,deepmind
imagenet-mobilenet_v1_075_160-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
nonsemantic-speech-benchmark-trill@@google,1,AudioSet,saved_model_2,audio-embedding,ResNet,google
imagenet-mobilenet_v1_075_160-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
imagenet-mobilenet_v1_075_160-feature_vector@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-feature-vector,MobileNet V1,google
nnlm-ko-dim128-with-normalization@@google,1,Google News,hub,text-embedding,NNLM,google
imagenet-mobilenet_v2_050_128-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V2,google
imagenet-mobilenet_v2_050_128-classification@@google,2,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V2,google
imagenet-mobilenet_v2_050_128-classification@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V2,google
imagenet-mobilenet_v2_035_96-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V2,google
imagenet-mobilenet_v2_035_96-classification@@google,2,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V2,google
imagenet-mobilenet_v2_035_96-classification@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V2,google
imagenet-mobilenet_v2_035_96-classification@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-classification,MobileNet V2,google
imagenet-mobilenet_v2_035_160-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V2,google
imagenet-mobilenet_v2_035_160-feature_vector@@google,2,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V2,google
imagenet-mobilenet_v2_035_160-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V2,google
imagenet-mobilenet_v1_050_224-quantops-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V1,google
imagenet-mobilenet_v1_050_224-quantops-classification@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V1,google
local-linearity-imagenet@@deepmind,1,imagenet,hub,image-classifier,ResNet-152,deepmind
image_augmentation-crop_rotate_color@@google,1,None,hub,image-augmentation,None,google
nnlm-de-dim128@@google,1,Google News,hub,text-embedding,NNLM,google
imagenet-mobilenet_v1_100_160-quantops-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V1,google
tf2-preview-nnlm-zh-dim128-with-normalization@@google,1,Google News,saved_model_2,text-embedding,NNLM,google
nnlm-ja-dim128@@google,1,Google News,hub,text-embedding,NNLM,google
nnlm-ja-dim128@@google,2,Google News,saved_model_2,text-embedding,NNLM,google
nnlm-en-dim50-with-normalization@@google,2,Google News,saved_model_2,text-embedding,NNLM,google
nnlm-en-dim50-with-normalization@@google,1,Google News,hub,text-embedding,NNLM,google
spiral-default-wgangp-celebahq64-gen-19steps-agent8@@deepmind,1,CelebA HQ,hub,image-rnn-agent,Other,deepmind
imagenet-mobilenet_v1_025_160-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
compare_gan-model_15_cifar10_resnet_cifar@@google,1,CIFAR-10,hub,image-generator,ResNet CIFAR,google
imagenet-mobilenet_v1_025_160-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
magenta-arbitrary-image-stylization-v1-256@@google,1,Multiple,hub,image-style-transfer,Other,google
inaturalist-inception_v3-feature_vector@@google,1,iNaturalist (iNat) 2017,hub,image-feature-vector,Inception V3,google
efficientnet-b5-feature-vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,EfficientNet-B5,google
inaturalist-inception_v3-feature_vector@@google,3,iNaturalist (iNat) 2017,hub,image-feature-vector,Inception V3,google
image_augmentation-nas_svhn@@google,1,SVHN,hub,image-augmentation,None,google
imagenet-inception_resnet_v2-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,Inception ResNet V2,google
tf2nq@@prvi,1,Natural Questions,saved_model_2,text-question-answering,Transformer,prvi
inaturalist-inception_v3-feature_vector@@google,4,iNaturalist (iNat) 2017,saved_model_2,image-feature-vector,Inception V3,google
imagenet-inception_resnet_v2-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,Inception ResNet V2,google
imagenet-inception_resnet_v2-feature_vector@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-feature-vector,Inception ResNet V2,google
imagenet-mobilenet_v1_100_192-quantops-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V1,google
efficientnet-b7-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,EfficientNet-B7,google
imagenet-mobilenet_v1_075_160-quantops-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V1,google
imagenet-mobilenet_v1_100_192-quantops-classification@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V1,google
image_augmentation-crop_color@@google,1,None,hub,image-augmentation,None,google
albert_xxlarge@@google,1,Wikipedia| BooksCorpus| Stories| CommonCrawl| Giga5| Clue Web,hub,text-embedding,Transformer,google
albert_xxlarge@@google,2,Wikipedia| BooksCorpus| Stories| CommonCrawl| Giga5| Clue Web,hub,text-embedding,Transformer,google
imagenet-resnet_v2_101-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,ResNet V2 101,google
albert_xxlarge@@google,3,Wikipedia| BooksCorpus| Stories| CommonCrawl| Giga5| Clue Web,hub,text-embedding,Transformer,google
imagenet-resnet_v2_101-classification@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-classification,ResNet V2 101,google
efficientnet-lite1-classification@@tensorflow,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,EfficientNet-B1,tensorflow
nnlm-ja-dim50-with-normalization@@google,1,Google News,hub,text-embedding,NNLM,google
imagenet-nasnet_mobile-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,NASNet-A (mobile),google
nnlm-ja-dim50-with-normalization@@google,2,Google News,saved_model_2,text-embedding,NNLM,google
efficientnet-b4-feature-vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,EfficientNet-B4,google
imagenet-nasnet_mobile-classification@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-classification,NASNet-A (mobile),google
nnlm-ko-dim50-with-normalization@@google,1,Google News,hub,text-embedding,NNLM,google
nnlm-en-dim50@@google,1,Google News,hub,text-embedding,NNLM,google
imagenet-mobilenet_v1_100_224-quantops-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
vision-classifier-fungi_mobile_V1@@svampeatlas,1,None,hub,image-classification,MobileNet V2,svampeatlas
imagenet-mobilenet_v1_025_224-quantops-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
imagenet-mobilenet_v1_050_128-quantops-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
imagenet-mobilenet_v1_025_224-quantops-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
Wiki-words-500@@google,1,Wikipedia,hub,text-embedding,word2vec skip-gram,google
imagenet-mobilenet_v1_075_192-quantops-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V1,google
Wiki-words-500@@google,2,Wikipedia,saved_model_2,text-embedding,word2vec skip-gram,google
imagenet-mobilenet_v1_075_192-quantops-classification@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V1,google
tf2-preview-nnlm-de-dim128@@google,1,Google News,saved_model_2,text-embedding,NNLM,google
imagenet-mobilenet_v1_025_160-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V1,google
imagenet-mobilenet_v1_025_160-classification@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V1,google
imagenet-mobilenet_v1_025_160-classification@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-classification,MobileNet V1,google
tf2-preview-nnlm-ko-dim50-with-normalization@@google,1,Google News,saved_model_2,text-embedding,NNLM,google
imagenet-mobilenet_v1_100_160-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V1,google
efficientnet-b4-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,EfficientNet-B4,google
imagenet-mobilenet_v1_100_160-classification@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V1,google
imagenet-inception_v2-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,Inception V2,google
imagenet-mobilenet_v1_100_160-classification@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-classification,MobileNet V1,google
imagenet-inception_v2-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,Inception V2,google
nnlm-en-dim128-with-normalization@@google,1,Google News,hub,text-embedding,NNLM,google
nnlm-en-dim128-with-normalization@@google,2,Google News,saved_model_2,text-embedding,NNLM,google
imagenet-mobilenet_v1_025_224-quantops-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V1,google
imagenet-mobilenet_v2_075_224-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V2,google
imagenet-mobilenet_v2_075_224-classification@@google,2,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V2,google
imagenet-mobilenet_v2_075_224-classification@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V2,google
imagenet-mobilenet_v1_025_128-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V1,google
imagenet-mobilenet_v2_075_224-classification@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-classification,MobileNet V2,google
imagenet-mobilenet_v1_025_128-classification@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V1,google
universal-sentence-encoder-xling-en-fr@@google,1,None,hub,text-embedding,Transformer,google
imagenet-pnasnet_large-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,PNASNet-5 (large),google
imagenet-pnasnet_large-classification@@google,2,ImageNet (ILSVRC-2012-CLS),hub,image-classification,PNASNet-5 (large),google
imagenet-pnasnet_large-classification@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-classification,PNASNet-5 (large),google
imagenet-mobilenet_v1_025_192-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
imagenet-pnasnet_large-classification@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-classification,PNASNet-5 (large),google
imagenet-mobilenet_v1_025_192-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
compare_gan-model_2_celebahq128_resnet19@@google,1,CelebA HQ,hub,image-generator,ResNet19,google
bert_en_cased_L-24_H-1024_A-16@@tensorflow,1,Wikipedia and BooksCorpus,saved_model_2,text-embedding,Transformer,tensorflow
imagenet-mobilenet_v2_100_160-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V2,google
imagenet-mobilenet_v2_100_160-feature_vector@@google,2,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V2,google
imagenet-mobilenet_v2_100_160-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V2,google
nnlm-ja-dim128-with-normalization@@google,1,Google News,hub,text-embedding,NNLM,google
imagenet-mobilenet_v2_100_224-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V2,google
imagenet-mobilenet_v2_100_224-classification@@google,2,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V2,google
nnlm-ja-dim128-with-normalization@@google,2,Google News,saved_model_2,text-embedding,NNLM,google
imagenet-mobilenet_v2_100_224-classification@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V2,google
imagenet-resnet_v2_152-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,ResNet V2 152,google
unsupervised-adversarial-training-cifar10-wrn_106@@deepmind,1,CIFAR10,hub,image-classification,WRN-106,deepmind
imagenet-resnet_v2_152-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,ResNet V2 152,google
imagenet-resnet_v2_152-feature_vector@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-feature-vector,ResNet V2 152,google
biggan-deep-512@@deepmind,1,ImageNet (ILSVRC-2012-CLS),hub,image-generator,BigGAN-deep,deepmind
imagenet-mobilenet_v1_100_128-quantops-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
rotation@@vtab,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,ResNet50-v2,vtab
imagenet-mobilenet_v1_100_128-quantops-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
imagenet-mobilenet_v2_100_224-classification@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-classification,MobileNet V2,google
imagenet-mobilenet_v1_100_192-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
imagenet-mobilenet_v1_100_192-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
local-linearity-cifar10@@deepmind,1,cifar10,hub,image-classifier,Wide-ResNet-40-8,deepmind
tf2-preview-nnlm-zh-dim128@@google,1,Google News,saved_model_2,text-embedding,NNLM,google
nnlm-zh-dim128-with-normalization@@google,1,Google News,hub,text-embedding,NNLM,google
videoflow-evaluator@@google,1,BAIR Robot Pushing Dataset,hub,video-generation,VideoFlow,google
imagenet-mobilenet_v2_075_160-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V2,google
imagenet-mobilenet_v2_075_160-feature_vector@@google,2,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V2,google
imagenet-mobilenet_v2_075_160-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V2,google
nnlm-id-dim50@@google,1,Google News,hub,text-embedding,NNLM,google
imagenet-mobilenet_v1_050_128-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
wae-mmd@@vtab,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,WAE,vtab
imagenet-mobilenet_v1_050_128-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
nnlm-ja-dim50@@google,2,Google News,saved_model_2,text-embedding,NNLM,google
nnlm-ja-dim50@@google,1,Google News,hub,text-embedding,NNLM,google
tf2-preview-nnlm-en-dim50-with-normalization@@google,1,Google News,saved_model_2,text-embedding,NNLM,google
imagenet-mobilenet_v1_050_128-feature_vector@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-feature-vector,MobileNet V1,google
bert_en_wwm_cased_L-24_H-1024_A-16@@tensorflow,1,Wikipedia and BooksCorpus,saved_model_2,text-embedding,Transformer,tensorflow
tfgan-eval-inception@@tensorflow,1,None,hub,image-feature-vector,None,tensorflow
bert_uncased_L-12_H-768_A-12@@google,1,Wikipedia and BooksCorpus,hub,text-embedding,Transformer,google
unet-industrial-class_8@@nvidia,1,DAGM2007,hub,image-segmentation,Unet,nvidia
remote_sensing-resisc45-resnet50@@google,1,Multiple,hub,image-feature-vector,ResNet V2 50,google
biggan-256@@deepmind,1,ImageNet (ILSVRC-2012-CLS),hub,image-generator,BigGAN,deepmind
imagenet-mobilenet_v2_050_96-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V2,google
